input,output
hal have pod arms secure the component,roger
five by five frank,hal im going out now to replace the ao unit
hal im going out now to replace the ao unit,i understand
i understand,hal maintain normal eva condition
hal maintain normal eva condition,roger
roger,hal check all airlock doors secure
pod bay is decompressed all doors are secure you are free to open pod bay doors,opening pod bay doors
yes hal whats up,it looks like we have another bad ao unit my fpc shows another impending failure
i know you did frank but i assure you there was an impending failure,let me see the tracking alignment display
do you have any idea of what is causing this fault,not really frank i think there may be a flaw in the assembly procedure
not really frank i think there may be a flaw in the assembly procedure,all right hal well take care of it let me have the hard copy please
yeah,i want to pick up my car
name,hammond
this is three years old,yeah ive been busy
we dont wash em ya know,how about chargin the battery
how about chargin the battery,that we do and we put air in the tires ill even sell you some gas if you need it
that we do and we put air in the tires ill even sell you some gas if you need it,great just great
yeah,vodka
vodka,maybe you better have a black russian
maybe you better have a black russian,no man i think ill have a vodka
now hows your memory doin,fuck off i dont know what the hell youre talkin about
fuck off i dont know what the hell youre talkin about,maybe i better ask around see what your pals think
maybe i better ask around see what your pals think,i dont give a shit who you ask
i dont give a damn about his girl,look give me a break youre going to have to settle for her place its the only thing i know
im tellin ya im giving you all i know,try obeyin the law once in awhile and i wont have to hassle you
maybe you shoulda stole a better truck tonto,you got a real big mouth convict
i want to drive awhile,i aint tired yet
i aint tired yet,maybe after we get done with him im gonna buy us some girls
maybe after we get done with him im gonna buy us some girls,whaddya mean buy
whaddya mean buy,pros
pay money,yeah dummy money
yeah dummy money,i never paid for it in my life
i never paid for it in my life,its better when you pay they let you do anything
its better when you pay they let you do anything,they always let me do anything i dont want to pay for it i never paid for it in my life
they always let me do anything i dont want to pay for it i never paid for it in my life,just do what i say okay well pay for the girls and have a good time dont you trust me
maybe thats where im gonna cut your throat,hes just kiddin you just keep doin what i tell ya youll be okay
hey what about me,and i need one more for my pal yeah make her an indian no not a turban you know a squaw
im candy,excuse me baby but if i dont get some action tonight im gonna bust you interested
excuse me baby but if i dont get some action tonight im gonna bust you interested,hey what kind of talk is that
hey what kind of talk is that,oh youre a schoolteacher
oh youre a schoolteacher,no i go to a school to learn how to do hair its a government program but really i want to be a model and i am definitely not sellin
no i go to a school to learn how to do hair its a government program but really i want to be a model and i am definitely not sellin,goodbye
hey dont you think a hair stylists got any interest in gettin it on,here you go sweetheart throw it my way
youre in a hurry,yeah i been waiting three years
yeah i been waiting three years,you just quit bein a priest or somethin
you just quit bein a priest or somethin,no baby nothin like that look theres a place across the street we can go right over there
no baby nothin like that look theres a place across the street we can go right over there,whats the matter with my place
whats the matter with my place,no its gotta be here and now believe me only i dont have the damn money for a room
well maybe ill see you later,heres hoping baby
hello again,i just struck it rich i think we can do a little business as a matter of fact i think we can have a party
here you go baby,hey dont do that i said i wasnt a pro remember
hey dont do that i said i wasnt a pro remember,hey no im tryin to be nice buy yourself something pretty id do it but i got to go i got this cop waitin for me
ill buy ya the best dinner in san franciscohowd that be then well go dancin okay,now youre talkin see ya
i said police now drop the goddamn gun,dont give me that police shit you drop it
how about it,i used to go with himi dont know where the hell he is i havent seen him for two weeks and i dont think i will he owes me money
i hear youve got visitors,would you guys
would you guys,no time for any of that crap any more lady ill rip your lungs out if you dont answer fast
you and the other one youre still billys girls you always were his girls,yeah sure im crazy in love with him who wouldnt be
yeah sure im crazy in love with him who wouldnt be,youre gonna help us take him
youre gonna help us take him,no chance
no chance,he can live or die you let us in and hes got a chance to make it otherwise he gets ventilated
wheres ganz,in the back down the other corridor
you lying son of a bitch,what are you talking about we didnt kill her
after i get outta this copim gonna live forever,i dont think youre gonna make it
i dont think youre gonna make it,whaddya meani got your gun i got his money i got everything
i got hit i cant believe it i got shot,youre done end of story
youre done end of story,i aint gonna beg for my life it aint cool
you got a name cop,try cates and lets talk in private okay
try cates and lets talk in private okay,sure anything you want
you here to write my life story,not likely reggie maybe i just need some help
yeah i noticed,ganz is in jail hes gonna be there two years after im on the street
ganz is in jail hes gonna be there two years after im on the street,didnt work out that way he busted out with a big indian they capped two guards on a road gang nice meeting you reggie
yeah,i can deliver ganz but you gotta get me outta here first
i can deliver ganz but you gotta get me outta here first,youre crazy
youre crazy,i can help you man but you gotta get me out i got to be on the street get me outta here
i can help you man but you gotta get me out i got to be on the street get me outta here,whats the big deal about you bein on the street
whats the big deal about you bein on the street,i got a lot to protect
i got a lot to protect,bullshit
bullshit,its the only way youre gonna get ganz
its the only way youre gonna get ganz,ill think about it
this prison gives out suits,what are you talkin about this suits mine it cost
were supposed to be after a killer not a string of hookers,listen it may be a little out of date you know i got a reputation for lookingreal sharp with the ladies
i dont need to hear your jive i already got that department taken care of,you got a girl shit the generosityof women never ceases to amaze me
hey no way take off the bracelets or no deal,you just dont get it do your reggie there isnt any deal i own your ass
you just dont get it do your reggie there isnt any deal i own your ass,no way to start a partnership
no way to start a partnership,get this we aint partners we aint brothers we aint friends im puttin you down and keepin you down until ganz is locked up or dead and if ganz gets away youre gonna be sorry we ever met
get this we aint partners we aint brothers we aint friends im puttin you down and keepin you down until ganz is locked up or dead and if ganz gets away youre gonna be sorry we ever met,shit im already sorry
yeah,it looks like you bought it off one of the brothers
okay lets get down to it i did my part and got you out so now you tell me where were goin,dont worry i got a move for ya an awesome move a guy named luther ganzll be paying him a visit we go to him right away
dont worry i got a move for ya an awesome move a guy named luther ganzll be paying him a visit we go to him right away,luther was part of the gang
luther was part of the gang,what gang you talkin about jack
what gang you talkin about jack,i can read a police file shithead and quit calling me jack
i can read a police file shithead and quit calling me jack,just an expression man dont mean nothin
i dont give a damn it happens to be my name,then whatre you complainin about at least nobodys calling you shithead
then whatre you complainin about at least nobodys calling you shithead,i may call you worse than that
just up the street the other side over there now dont bother knockin on the door luther aint the kind of guy that looks for company,your pal nuts enough to take a shot at me
your pal nuts enough to take a shot at me,luther aint the reliable type i dont want you shot yet cates not before you been a help to me
luther aint the reliable type i dont want you shot yet cates not before you been a help to me,im helpin you huh
quit playin cop and undo this cuff jack i need to talk to this man,im tellin you to drop the goddam gun
im tellin you to drop the goddam gun,i got a whole thing about people pointin guns at me
i got a whole thing about people pointin guns at me,just throw me the goddamn gun
hey this works pretty good,thank you
thank you,want to try it again
what do you think,i think you better put him on ice man
i think you better put him on ice man,hes gotta take that call if there is one
hes gotta take that call if there is one,if you let him run around till tuesday hes gonna run right to ganz and warn him aint you motherfucker
were on the move lets go as they walk toward a corridor,do you know how close i was to getting some trim and you fucked it up
speakin of moans my stomach is startin to growl,we eat when i say we eat
we eat when i say we eat,bullshit i aint moving till i get something to eat youve been treating me like shit ever since i came out here if you dont like it you can take me back to the penitentiary and kiss my hungry black ass goodbye and i want some food some place nice some good people nice music
bullshit i aint moving till i get something to eat youve been treating me like shit ever since i came out here if you dont like it you can take me back to the penitentiary and kiss my hungry black ass goodbye and i want some food some place nice some good people nice music,yeah im hungry too i know of a place lets go eat
yeah im hungry too i know of a place lets go eat,yeah i want mandolins flowers they move off down the corridor
whod you call on the phone back at the booking station,just get in the car and keep your mouth shut
you really do have onoe huh jack whats her problem besides you,shes got the same complaint as half the goddamn population she cant get the job shes trained for and it pisses her off anyway what the fuck do you care
now where we goin convict,mission district gonna find us an indian
i dont give out the details,last night two nights ago three
last night,you have a good time
sure then we had a fight this morning,at least you took care of business and got the important part in before she came down on youtell me a little about her she got great tits
well,its a long shot butbilly used to tend bar here a few years back i heard him talk about it
its a long shot butbilly used to tend bar here a few years back i heard him talk about it,this part of town theyll make us for heat the second we walk in just back me up like youve got a piece
this part of town theyll make us for heat the second we walk in just back me up like youve got a piece,back you up now why would i wanna do that
back you up now why would i wanna do that,if they kick my ass theyll sure as hell carve yours up
if they kick my ass theyll sure as hell carve yours up,but you can handle it all right huh real amazin how far a gun and a badge can carry some cats
but you can handle it all right huh real amazin how far a gun and a badge can carry some cats,bullshit attitude and experience get you through
i been in a lot of bars where a white cop rousted me and some of the brothers all those clowns ever had going for em was a gun and a badge,you need five years training to handle a joint like
hey you wanna bet,i got two problems number one im not playin games number two you got nothin to bet with
i got two problems number one im not playin games number two you got nothin to bet with,if we come outta this joint with ganz phone number or a dead indian or anything else useful then you could turn the other way for half an hour while i get laid
if we come outta this joint with ganz phone number or a dead indian or anything else useful then you could turn the other way for half an hour while i get laid,why anybody that talks about women as much as you do probably cant get it up anyway
why anybody that talks about women as much as you do probably cant get it up anyway,thats never been one of my problems
ill tell you what happens if you lose you tell the truth for once,what are you talkin about
what are you talkin about,you tell me what ganz busted out for hes after a lot more than just gettin out of jail and whatever it is youre part of it
you tell me what ganz busted out for hes after a lot more than just gettin out of jail and whatever it is youre part of it,i dont know what youre talking about i just wanna see ganz nailed
i dont know what youre talking about i just wanna see ganz nailed,the bets off
im gonna enjoy this here ill even loan you my badge,i thought you said bullshit and experience are all it takes
this place dont seem real popular with the brothers,my kind of place i always liked country boys
that wasnt necessary buddy i got this under control,some of us citizens are with you all the way officer
you made that move huh,while youre at it you can give me the switchblade too
there,must be billys girl
must be billys girl,come on
lets go,wait a minute maybe these ladies would like to go a few laps with us how about it i been nearly three years in prison and
this sucks a maniac gets hold of my gun and goes all over the streets killing people with it so instead of me being where i oughta be which is in bed giving my girl the high hard one im out here doing this shit roaming around with some overdressed charcoalcolored loser like you,you wanna leave man let me take care of ganz all by myself
you wanna leave man let me take care of ganz all by myself,you dont make me laugh you cant take care of shit youve been dicking me around since we started on this turdhunt all youre good for is games so far what i got outta you is nothin
you dont make me laugh you cant take care of shit youve been dicking me around since we started on this turdhunt all youre good for is games so far what i got outta you is nothin,im impressed with you too jack you did a real good job of busting up a couple of dykes bedded down for the night
im impressed with you too jack you did a real good job of busting up a couple of dykes bedded down for the night,luther knew more than he told me and so do younow you better tell we what the fuck this is all about i gave you hours to come up with something and the clocks runnin
maybe i dont like the way you ask,who gives a goddamn what you think youre just a crook thats got a weekendpass youre not even a name anymore just a spear chucker with a goddamn number stenciled on the back of his prison fatigues
yeah right you want to try again,naw youd just call your pals back to bail you out one more time
naw youd just call your pals back to bail you out one more time,they saved your ass convict
they saved your ass convict,one things for sure jack thats how youll tell the story
i been waiting a long time for some money,how much
how much,half a million
half a million,jesus
just tell me about the money,me and my bunch hit a dealer in the middle of a sale its the kind of money nobody ever reports stolen i was sittin pretty livin in the high cotton then somebody fingered me for another job some psycho whos out there capping people with some cops gun
me and my bunch hit a dealer in the middle of a sale its the kind of money nobody ever reports stolen i was sittin pretty livin in the high cotton then somebody fingered me for another job some psycho whos out there capping people with some cops gun,hes after your money
hes after your money,you catch on real fastokay jack lets talk deal how much of my money you gonna let me keep
we split,not likely convict
not likely convict,you gonna let me keep any of it
you gonna let me keep any of it,depends on how things work out i believe in the merit system so far you havent built up any points
wheres the money,in the trunk of a car a lot better than under a mattress right
right partner,get this we aint partners we aint brothers we aint friends if ganz gets away with my money youre gonna be sorry we ever met
get this we aint partners we aint brothers we aint friends if ganz gets away with my money youre gonna be sorry we ever met,yeah right
wheres the goddamn car,youre a real case you know that jack
thisll show you how smart i am i got it parked,for three years lets hope it wasnt a towaway zone
for three years lets hope it wasnt a towaway zone,you just drove by it
you son of a bitch you knew where the money was all along and all we had to do was come here and wait i almost got my ass blown off twice tonight for nothing,i wasnt sure the money was still there until we saw luther you almost got your ass shot off for nothing once not twice jack
i wasnt sure the money was still there until we saw luther you almost got your ass shot off for nothing once not twice jack,shit
you took a big chance leaving this here all this time,not really i figured ganz was put down for a long time and i knew luther would never job me on his own hes too chickenshit
not really i figured ganz was put down for a long time and i knew luther would never job me on his own hes too chickenshit,guess what luther just got in line
what,musta got some primo bondsman
musta got some primo bondsman,jesus christ thats a disgrace the guy pulls a gun on a cop and hes out in hours i tell you some of the courts these days are just a fucking revolving door
jesus christ look at all the dust on my carwhy in the hell dont he take it to a car wash,didnt know you darker people went in for foreign jobs
didnt know you darker people went in for foreign jobs,i had no choice some white asshole bought the last piece of shit skyblue cadillac
youd think the guyd be smart enough to know he was being tailed,tryin to save his girl man hes in another world
tryin to save his girl man hes in another world,if i was his size and had ganz on my ass id just leave town
if i was his size and had ganz on my ass id just leave town,im tellin you the mans in love he wants to be a hero for his girl
im tellin you the mans in love he wants to be a hero for his girl,oh yeah does bein in love make you stupid
i suppose youd never be like luther and let a woman get to you,i let women get to me the quest for pussy is the meaning of life i got my own personal philosophy about em keep women separate from guns money and business women are for spending money they got nothing to do with helping you make it
i let women get to me the quest for pussy is the meaning of life i got my own personal philosophy about em keep women separate from guns money and business women are for spending money they got nothing to do with helping you make it,that aint philosophy thats common sense
say do you always work people over like you did luther,if they dont tell me what i need to know
if they dont tell me what i need to know,doesnt it get tiring
doesnt it get tiring,im not in this cause its fun im not into hitting guys cause it makes me feel good either i do it cause it works
im not in this cause its fun im not into hitting guys cause it makes me feel good either i do it cause it works,you got a very depressing view of life man you gotta smile once in awhile
maybe luther hopes ganzll give him a piece of your money,if hes hoping that then hes dumber than i think he is which would be amazin cause i already think hes real dumb
a long time agb luther must of got the shit beat out of him so bad it just rattled his brain that would account for him making so many wrong moves in a row,yeah it doesnt look like hes gonna make it as a dangerous tough guy
you know id be embarrassed if i let my wheels go the way youve done with this job,what you dont understand is i dont give a damn about how this thing looks
what you dont understand is i dont give a damn about how this thing looks,no class
no class,class isnt somethin you buy punk look at you five hundred dollar suit and youre still a lowlife
were getting too close cates whats the matter you been takin dumb pills,yeah most cops are pretty dumb but since youre the one that landed in jail whats that make you
that was in style a couple years back man,right if you ever switch from armed robbery to pimping then youre all set
bullshit then im staying with the money,you stay with me
you stay with me,no way
hey jack how ya doin what took you so long to call man i been waitin im at vromans up in the fillmore yeah vromans course you dont hang out here its for the brothers,ill be there in a minute you dont move your ass right
wheres luther,be polite say hello this is candy
be polite say hello this is candy,hello and goodbye
what about luther,what about ganz
we missed,you missed luther took a taxi to the hotel across the street made a phone call
you missed luther took a taxi to the hotel across the street made a phone call,maybe we should pay luther a visit
maybe we should pay luther a visit,let him get some sleep hes going to need it
tell me something why didnt you just take the money off luther and split,forget it i want ganz as bad as you do and i got some other news for you
i dont know why but im going to let you keep it maybe because you told me you had it or maybe just because im too tired to argue,you sure thats the reason
thanks for callin in and i guess maybe look im sorry i called you watermellon nigger those kinds of things i was just leanin on ya doin my job,bein good at your job dont explain everything jack
bein good at your job dont explain everything jack,yeah guess not
yeah i see her,i can just take her right across the street to luthers hotel all i need is some money for the room
that was quick,when you been in prison three years it dont take long lets go
when you been in prison three years it dont take long lets go,why
why,luthers on the move
notice something funny about that bus,yeah it missed the last four stops
hey howd my car get here,i had it impounded come on well use it for haulin you back to the slam
i had it impounded come on well use it for haulin you back to the slam,back to jail in my own car ganz got away got all my money it just dont seem right
back to jail in my own car ganz got away got all my money it just dont seem right,i dont know about you but i could use a drink ill buy you one itll be my goodbye present
sorry we didnt do better jack i feel like i let you down,naw you didnt let me down it was a long shot all the way we gave em a good run at it
naw you didnt let me down it was a long shot all the way we gave em a good run at it,yeah but we didnt get em
its late theyre closing,dont worry about it
yeah well the only woman of the indians we ran into was shacked up with her dyke girlfriend i guess she went with him before she came outta the closet they both looked mad enough to kill him,yeah too bad they were real nice lookin tooin bed together hardly any clothes one watching tv
do i get to kiss her too,if shes right and if you dont screw up
what if your girls theory turns out to be bullshit i mean they could be in rio de janeiro,ive got to play it rough with them if they know anything im gonna know it
hey there she is,whatever play i maker just back me up
whatever play i maker just back me up,if we run into billy first let me try and talk him in
if we run into billy first let me try and talk him in,sure ill give you a shot at it but ganz is mine you know that big indian plays it for keeps
sure ill give you a shot at it but ganz is mine you know that big indian plays it for keeps,yeah and i know ganz sure aint no sweetheart i wouldnt like it if this partnership ended before it gets started
yeah and i know ganz sure aint no sweetheart i wouldnt like it if this partnership ended before it gets started,partnership
partnership,well you got to admit we come a long way
you okay,yeah but i wasnt there for a second
yeah but i wasnt there for a second,you did pick a real strange time to go and be brave all on your own
okay reggie start bustin my chops tell me how great you were with that chick,hey jack real men dont have to go in for that macho bullshit but i was fantastic
wait a minute cates ive been waitin three years for that i dont think its fair man what about the merit system you were gonnna give me a few thousand,theres nothin to talk about
its your money itll be here in six months when you get out,and youre tellin me you dont want any of this cash
and youre tellin me you dont want any of this cash,thats right not my style reggie
thats right not my style reggie,you are an awesomely weird cop sure wish there were more like you runnin around out here
you are an awesomely weird cop sure wish there were more like you runnin around out here,no you dont if i ever get word of you steppin over the line again im gonna ventilate that suit of yours
no you dont if i ever get word of you steppin over the line again im gonna ventilate that suit of yours,spare met jack im into legit investments from here on in
thanks,no trouble jack but listen suppose i stay a crook whered you get the idea that you could catch me
i want to be left alone on this one algren was killed with my gun,yeah i read the report
hey the bastards got my gun i want it back,jack come on there is an official department policy about cop killings cop killers represent a special priority because any man crazy enough to kill a cop is a greater threat to an unarmed civilian in other words we cant seen like were in the revenge business i know we all know the truths a little different
yeah,anthing botherin you besides losin your gun
anthing botherin you besides losin your gun,yeah it bothers me when cops get hurt while im makin a play i dont like it
yeah it bothers me when cops get hurt while im makin a play i dont like it,you might be more of a team player and a little less of a hot dog on this one jack
you might be more of a team player and a little less of a hot dog on this one jack,being a hot dogs worked pretty well for me so far besides i got a lead
being a hot dogs worked pretty well for me so far besides i got a lead,okay youre not a team player you gotta do things your own way fine nail this guy and make us all look good but you better watch your ass if you screw up i can promise you youre goin down
okay youre not a team player you gotta do things your own way fine nail this guy and make us all look good but you better watch your ass if you screw up i can promise you youre goin down,you really know how to send a guy out with a great attitude he starts to go
you really know how to send a guy out with a great attitude he starts to go,jack
jack,yeah
yeah,try not to get your ass shot to pieces we got enough dead cops on this one
try not to get your ass shot to pieces we got enough dead cops on this one,ill keep it in mind
what the bell happened,i lost them thats what happened
i lost them thats what happened,how did they get away
how did they get away,they ran as fast as they could caught a train
which one pulled the trigger,the indian i was about yards away
the indian i was about yards away,you couldnt get to him
what a screwup,right i screwed up i fucked up i messed up anybody could have done better especially you i bet youre real good at hitting targets through crowds
dont duck the bullet cates why didnt you call in for backup instead of makin a grandstand play,i didnt have the time
i didnt have the time,too bad it wouldve covered your ass now youre in the shit and sos the department in case you havent noticed this wasnt our finest hour i told you everyone was watchin on this one maybe you better start thinkin about writin tickets off a three wheel bike
hes got more brains and more guts in one corner of his asshole than any cop ive worked with,just cause you say it with conviction dont mean shit to me how you gonna take to a pink slip huh
where the christ do you think youre going,im taking my prisoner back to jail
thats what you say cates,yeah
yeah,but thats what you say about all of us all the tine were always the ones fucking up when you tell it
but thats what you say about all of us all the tine were always the ones fucking up when you tell it,the truth hurts doesnt it buddy
somebody steals your gun youre supposed to file a report,are you gonna tell me about police procedure do me a favor dont give me a bunch of crap
are you gonna tell me about police procedure do me a favor dont give me a bunch of crap,i guess when two cops die on account of your fuck up you want to keep it as quiet as possible
is that what this guy ganz had in the hotel,every last bit of it the big guys room was empty
every last bit of it the big guys room was empty,ill help you out
this guy must have had a like yours jack now hes got yours,shit
billy bear,backup man from the east bay worked with ganz a few years ago and sprung him from the road gang
who are all these,they all pulled a bunch of jobs with ganz about four years ago
they all pulled a bunch of jobs with ganz about four years ago,wait a minute wait a minute whos this
wait a minute wait a minute whos this,uhh wong henry wong he was in on the same job
tell me thats not the same guy,hey dick tracy
i think i wanna have a discussion about it with any of the ones still walking can we find them,heres the file cates checks the file
heres the file cates checks the file,one of ems in the slam
you look awful,so do youbeen a long day
so do youbeen a long day,long night too from what i heard words going around that in addition to losing ganz for the second time and in addition to haden busting you back to patrolman some jig beat the crap out of you
long night too from what i heard words going around that in addition to losing ganz for the second time and in addition to haden busting you back to patrolman some jig beat the crap out of you,aw bullshit you heard wrong
aw bullshit you heard wrong,doesnt look like it
doesnt look like it,nothing came in for me yet no calls
nothing came in for me yet no calls,nothing
bullshit red tape,im heading out how about you
i got to wait for a call,okay see you in the morning you know you ought to get some rest
i almost forgot that pal of yours from the vice squad wants you to call him,what
jesus christ why the hell didnt you tell me before,im not paid to take your personal calls he was in some bar off duty
a cop,i sure aint his fairy godmother now im looking for ganzwhere is he
i sure aint his fairy godmother now im looking for ganzwhere is he,havent seen him for years thats the truth
havent seen him for years thats the truth,you just took a shot at me asshole i think you do know where he is
you just took a shot at me asshole i think you do know where he is,who gives a fuck what you think
ganz and billy got my girl rosalie,i think i met her now tell us something we dont know like where they stashed her
i think i met her now tell us something we dont know like where they stashed her,i dont know
he he wants me to help him skip town,when how
when how,i dunno hes gonna call me
what am i wanted for,i dont answer questions i ask em
i dont think your guns loaded,this is a magnum the most powerful handgun in the world you gotta ask yourself just one question are you feelin lucky
this is a magnum the most powerful handgun in the world you gotta ask yourself just one question are you feelin lucky,i still dont think its loaded
hey youre right,youre hopeless
youre hopeless,thats the way i see it too
im all wet,whats wrong with that
a guy in the bar called me a dumb bitch today,whatd you do
whatd you do,irrigated his face with the shot of j and b id just poured him then i tried to deck the sucker
irrigated his face with the shot of j and b id just poured him then i tried to deck the sucker,i guess he got the message
i guess he got the message,then i sit back and i think i mean whos to say im not a dumb bitch i work in a bar right i cant read a list of my academic credentials to every boozehound that comes in the place you are what you do
then i sit back and i think i mean whos to say im not a dumb bitch i work in a bar right i cant read a list of my academic credentials to every boozehound that comes in the place you are what you do,positive selfimage problem all over again you are who you decide you are unless youre the type that lets assholes decide for you
positive selfimage problem all over again you are who you decide you are unless youre the type that lets assholes decide for you,arent you the one that thinks all psychotherapy is bullshit
arent you the one that thinks all psychotherapy is bullshit,i do think all psychotherapy is bullshit but just because i think its bullshit doesnt mean i dont know something about it
i do think all psychotherapy is bullshit but just because i think its bullshit doesnt mean i dont know something about it,if this is your idea of sympathetic interest in my problems ill take brutal indifference
if this is your idea of sympathetic interest in my problems ill take brutal indifference,hey you know what i really think
hey you know what i really think,tell meim dyin to hear it
tell meim dyin to hear it,i think youre ashamed to tend bar which is sad because you look great in that outfit they make you wear you pull down four bills a week which is damn good and you mix the best pina coladas ive ever had i think that if you need bigger and better things then go for em
you know if you let me come over to your place once in a while you could put on a clean shirt in the morning,what makes you think i have any clean shirts at my place
maybe you ought to buy me one,maybe i would if i knew when you were coming back
thats a fairly crummy way to start a morning,maybe i got a fairly crummy day ahead
maybe i got a fairly crummy day ahead,maybe that makes a nice excuse
maybe that makes a nice excuse,maybe you dont know what the hell youre talking about
when you start with that attitude its like i dont know who you are,what do you want to know what difference does it make im the guy in your bed the last three months i make you feel good you make me feel good what the hell else do you want from a guy
what do you want to know what difference does it make im the guy in your bed the last three months i make you feel good you make me feel good what the hell else do you want from a guy,i wish youd stop trying to make me mad so i wont care for you i wish youd give me a little more of a chance
you know something jack you really are hopeless,thats the way i see it too
thats the way i see it too,call me later
call me later,you sure you want me to
you sure you want me to,yeah for some reason im sure
thanks for the coffee,i think you forgot this hands him his wallet and badge
i think you forgot this hands him his wallet and badge,guess people ought to know who i am
great place for lunch,yeah one of my favorites
yeah one of my favorites,you made the front page
yeah guess it must have been a slow news day,jack are you okay
jack are you okay,sure okay fine no problem see theres this kid in jail first thing i got to do is go up and see what he knows
look spare me the macho bullshit about your gun,bullshit ill tell you about bullshit my guns a real weapon in the hands of a real maniac who knows how to use it it isnt my macho bullshit thats killing people my gun is
bullshit ill tell you about bullshit my guns a real weapon in the hands of a real maniac who knows how to use it it isnt my macho bullshit thats killing people my gun is,look jack if you make everything your personal responsibility youll turn into a bad cop its not a practical way to function
look jack if you make everything your personal responsibility youll turn into a bad cop its not a practical way to function,i didnt get burned two cops did listen ill tell you about personnel responsibility i like to get the job done right and if i dont get my job done right im for shit
i didnt get burned two cops did listen ill tell you about personnel responsibility i like to get the job done right and if i dont get my job done right im for shit,here it comes again the sacred job
here it comes again the sacred job,thats right im not like you im not gonna sit on my ass wondering whats right and whats wrong theres a psycho out there killing people with my gun and im gonna get him because its my job and if you dont get that
thats right im not like you im not gonna sit on my ass wondering whats right and whats wrong theres a psycho out there killing people with my gun and im gonna get him because its my job and if you dont get that,i get that the job first everything else especially me second i get it i dont like it
just one some lady called said shes a little hotheaded sometimes but she still wants her occasional roommate shed like to talk it over after she gets off work tonight if its humanly possible,elaine look im in the middle of sone stuff right now im not gonna have time to come by i dont know when i can get there
listen goddamn it if you think im happy about it youre nuts i just gotta take care of a few things okay,this is not the way people who care for each other are supposed to behave
im at work asshole where else,elaine i im sorry i was expecting somebody else police business
elaine i im sorry i was expecting somebody else police business,no wonder youre so popular
no wonder youre so popular,no its im just surprised you called
no its im just surprised you called,so am i
the number whats the goddamn number,jack what was that
elaine i gotta put you on hold,jack wait
jack wait,just a second thats all
hello,hi its me
hi its me,fuck you
hey i dont believe it,hiya kid
hiya kid,i ought to have you and your friend thrown out
i ought to have you and your friend thrown out,dont weve had a hard night
dont weve had a hard night,i can see that pardon me for saying so but you look like shit what happened
i can see that pardon me for saying so but you look like shit what happened,we and my pal here have been taking it on the chin for the last few hours
you real down,ive been betterdead end no ganz no indian
nothing no sign of ganz no sign of the indian airports clean train station bus station docks shit,ganz is going to be hard to track just a pure schizo wires all crossed totally without any pattern kill anybody the indian himself anybody
ganz is going to be hard to track just a pure schizo wires all crossed totally without any pattern kill anybody the indian himself anybody,how do you know
how do you know,jack its all over the papers hes an obvious type but this indian
what makes you think they were lesbians or as you so quaintly put it dykes,come on they were a little old for a slumber party
come on they were a little old for a slumber party,it might pay to reexamine a few of your more primitive notions i was in bed with a girlfriend watching tv last week jack and one thing we know about me is i happen not to be a lesbian now if this indians girlfriend got upset when you came looking for him it could just be shes still vulnerable to him
it might pay to reexamine a few of your more primitive notions i was in bed with a girlfriend watching tv last week jack and one thing we know about me is i happen not to be a lesbian now if this indians girlfriend got upset when you came looking for him it could just be shes still vulnerable to him,so what
so what,when a guy hurts you then comes back bleeding on his hands and knees who knows he might just be irrestible
when a guy hurts you then comes back bleeding on his hands and knees who knows he might just be irrestible,hey come on shrink times over they wouldnt go see some old girlfriend
hey come on shrink times over they wouldnt go see some old girlfriend,oh yeah well look where you came when you were down and out
whaddya think,what do i know im just a bartender
what do i know im just a bartender,lets go reggie
howd they take it back at headquarters,usual bullshit you make one smart move and everybody wants to be your friend you know somethin shootin guys sucks especially compared to this
usual bullshit you make one smart move and everybody wants to be your friend you know somethin shootin guys sucks especially compared to this,ive been waiting a long time to hear you say that
ive been waiting a long time to hear you say that,yeah bein a hardass all the time is a real drag but it works
three more hours,where is he
where is he,promised id turn my back while he ah never mind
promised id turn my back while he ah never mind,tell me
tell me,hes takin care of the same business ill be takin care of soon as i dry off
youre impossible,thats what i always say
who the hell are you,names hammond reggie hammond i heard a lot about you and any friend of jacks is a friend of mine
im not so sure i can say the same thingyou dont look like a cop,well i been workin the other side of the street for the last few years and you dont exactly look like a shrink wearin that dress
well i been workin the other side of the street for the last few years and you dont exactly look like a shrink wearin that dress,shrink major not a shrink
hard man to live with,how would you know
how would you know,hey two days with him is enough
hey two days with him is enough,thats no bull
he was the only one of my bunch that was my friend he was loyal went all the way for you,in all due respect he sounds kind of pathetic to me the kind of guy that runs home to his momma or some girlfriend have you two ace detectives checked that out
hey,shut up
shut up,what the hells wrong i didnt do anything
what do you want whats goin on,shut up
stall,what do you want
keep stallin,alright im cominghold on
how hot are they,hot hey theyre not even room temperature
how ya doin,cant complain
cant complain,we got a lot to talk about
we got a lot to talk about,yeah old times
yeah old times,well follow you take it slowokay
well follow you take it slowokay,sure right
surprise luther,whaddya want i thought you were locked up
whaddya want i thought you were locked up,i want the money asshole what do you think the money that reggie hid
i want the money asshole what do you think the money that reggie hid,i dont know what youre talkin about
i dont know what youre talkin about,you want that indian to snap her neck
instead of worryin about reggie you better worry about me,dont give me this we were partners
dont give me this we were partners,billy go ahead break it
billy go ahead break it,no dont kill her i can get you the money
no dont kill her i can get you the money,when
when,i cant get it until monday honest
i cant get it until monday honest,you chickenshit punk
you chickenshit punk,honest the place we stashed it opens monday morning i cant get it till then monday morning thats when it opens after that ill get the money to you right away
